brands,naics_code,top_category,sub_category
& Other Stories,448120,Clothing Stores,Women's Clothing Stores
&pizza,722511,Restaurants and Other Eating Places,Full-Service Restaurants
1-800-Flowers,453110,Florists,Florists
10 Spot/MadRag,448120,Clothing Stores,Women's Clothing Stores
110 Grill,722511,Restaurants and Other Eating Places,Full-Service Restaurants
16 Handles,722515,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
24 Hour Fitness,713940,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
2nd Wind Exercise Equipment,451110,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores
5 Napkin Burger,722511,Restaurants and Other Eating Places,Full-Service Restaurants
5 Star Nutrition,446191,Health and Personal Care Stores,Food (Health) Supplement Stores
5.11 Tactical,451110,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores
7 For All Mankind,448140,Clothing Stores,Family Clothing Stores
7-Eleven,445120,Grocery Stores,Convenience Stores
76,447110,Gasoline Stations,Gasoline Stations with Convenience Stores
800 Degrees Woodfired Kitchen,722511,Restaurants and Other Eating Places,Full-Service Restaurants
99 Restaurants,722511,Restaurants and Other Eating Places,Full-Service Restaurants
9Round,713940,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
A&A Beauty Supply,446120,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores"
A&W Restaurants,722511,Restaurants and Other Eating Places,Full-Service Restaurants
A.C. Moore,453998,Other Miscellaneous Store Retailers,All Other Miscellaneous Store Retailers (except Tobacco Stores)
A.P.C. Store,446120,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores"
ACME Sav-on Pharmacy,446110,Health and Personal Care Stores,Pharmacies and Drug Stores
AG Jeans,448140,Clothing Stores,Family Clothing Stores
ALDI,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
ALDO,448210,Shoe Stores,Shoe Stores
AMC Entertainment,512131,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins)
AMF,713950,Other Amusement and Recreation Industries,Bowling Centers
ASICS,448210,Shoe Stores,Shoe Stores
Aaron's,532289,Consumer Goods Rental,All Other Consumer Goods Rental
Abbott's Frozen Custard,722515,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
Abercrombie,448140,Clothing Stores,Family Clothing Stores
Acme Markets,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
Acorn Markets,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
Adam's Hometown Market,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
Adidas,448210,Shoe Stores,Shoe Stores
Adult Mart,453998,Other Miscellaneous Store Retailers,All Other Miscellaneous Store Retailers (except Tobacco Stores)
Adventure Landing,713110,Amusement Parks and Arcades,Amusement and Theme Parks
Aesop,446120,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores"
Against All Odds,451110,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores
Agent Provocateur,448190,Clothing Stores,Other Clothing Stores
Alamo Drafthouse Cinema,512131,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins)
Alex and Ani,448310,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores
