brands,related_same_month_brand,weight
& Other Stories,BP,8.707357859531772
& Other Stories,Baskin Robbins,2.5150501672240804
& Other Stories,Bloomingdale's,1.8361204013377928
& Other Stories,Burger King,14.270903010033445
& Other Stories,CVS,12.64046822742475
& Other Stories,Chick-fil-A,6.72742474916388
& Other Stories,Chipotle Mexican Grill,14.553511705685619
& Other Stories,Dollar Tree,7.406354515050169
& Other Stories,Dunkin',34.47491638795987
& Other Stories,Equinox Fitness Clubs,3.20066889632107
& Other Stories,Five Below,0.6789297658862877
& Other Stories,McDonald's,24.05685618729097
& Other Stories,Mobil,2.4565217391304346
& Other Stories,New York Sports Club,1.6321070234113713
& Other Stories,Olive Garden,0.48494983277591974
& Other Stories,Paper Source,2.311036789297659
& Other Stories,Papyrus,8.767558528428095
& Other Stories,Prada,2.2441471571906355
& Other Stories,Pret A Manger,10.058528428093647
& Other Stories,Red Lobster,0.6789297658862877
& Other Stories,Shell Oil,6.72742474916388
& Other Stories,Skechers,1.842809364548495
& Other Stories,Solstice Sunglasses,0.8244147157190636
& Other Stories,Starbucks,47.24247491638796
& Other Stories,Subway,17.816053511705686
& Other Stories,Sunoco,6.72742474916388
& Other Stories,Target,11.010033444816054
& Other Stories,UGG,1.6321070234113713
& Other Stories,Walgreens,14.20401337792642
& Other Stories,Walmart,10.54180602006689
& Other Stories,Wendy's,11.076923076923075
& Other Stories,sweetgreen,3.2642140468227425
&pizza,BP,9.793814432989691
&pizza,Baskin Robbins,10.896907216494846
&pizza,Burger King,5.381443298969073
&pizza,CAVA,7.623711340206185
&pizza,CVS,15.551546391752579
&pizza,Chipotle Mexican Grill,13.75773195876289
&pizza,Costco,4.963917525773196
&pizza,Dunkin',31.103092783505158
&pizza,McDonald's,21.0
&pizza,Modell's Sporting Goods,8.345360824742269
&pizza,Pret A Manger,9.448453608247423
&pizza,Shake Shack,4.963917525773196
&pizza,Shell Oil,10.0
&pizza,Starbucks,45.30927835051546
&pizza,Subway,14.896907216494846
&pizza,Sunoco,8.345360824742269
&pizza,Taco Bell,3.8608247422680417
&pizza,Target,11.654639175257731
&pizza,Walgreens,12.103092783505154
&pizza,Walmart,3.587628865979382
&pizza,Wendy's,7.896907216494845
&pizza,sweetgreen,8.448453608247423
1-800-Flowers,7-Eleven,21.51670644391408
1-800-Flowers,Applebee's,0.47613365155131265
1-800-Flowers,BJ's Wholesale Club,5.995226730310263
1-800-Flowers,BP,19.91766109785203
1-800-Flowers,Baskin Robbins,8.384248210023868
1-800-Flowers,Blink Fitness,0.5918854415274463
1-800-Flowers,Burger King,3.743436754176611
1-800-Flowers,CVS,29.651551312649165
1-800-Flowers,Carvel,4.248210023866348
1-800-Flowers,China King,0.23627684964200477
1-800-Flowers,ConocoPhillips,0.36515513126491644
1-800-Flowers,Costco,9.773269689737472
1-800-Flowers,Dollar Tree,6.0322195704057275
1-800-Flowers,Dunkin',33.50835322195704
1-800-Flowers,Food Bazaar Supermarket,3.463007159904535
1-800-Flowers,Foodtown,2.2374701670644392
1-800-Flowers,Gap,3.5894988066825775
1-800-Flowers,IHOP,0.23627684964200477
1-800-Flowers,King Kullen Grocery Co.,0.47613365155131265
1-800-Flowers,Kohl's,2.0178997613365155
1-800-Flowers,Leslie's Swimming Pool Supplies,2.230310262529833
1-800-Flowers,Macy's,2.548926014319809
1-800-Flowers,McDonald's,30.837708830548927
1-800-Flowers,Michaels Stores,3.449880668257757
1-800-Flowers,Mobil,7.7291169451074
1-800-Flowers,Olive Garden,1.70763723150358
1-800-Flowers,Panera Bread,4.035799522673031
1-800-Flowers,Party City,10.618138424821002
1-800-Flowers,Pioneer Supermarkets,0.5918854415274463
1-800-Flowers,Popeyes Louisiana Kitchen,0.8138424821002387
1-800-Flowers,Sears Home Services,5.608591885441528
1-800-Flowers,Shell Oil,5.199284009546541
1-800-Flowers,ShopRite,2.124105011933174
1-800-Flowers,Speedway,1.5572792362768497
1-800-Flowers,Staples,6.928400954653938
1-800-Flowers,Starbucks,28.675417661097853
1-800-Flowers,Stop & Shop,21.91766109785203
1-800-Flowers,Subway,11.760143198090693
1-800-Flowers,Sunoco,10.099045346062052
1-800-Flowers,T.J. Maxx,1.6634844868735084
1-800-Flowers,Taco Bell,7.331742243436755
1-800-Flowers,Target,17.589498806682577
1-800-Flowers,The Salvation Army,0.7398568019093079
1-800-Flowers,Trader Joe's,0.733890214797136
1-800-Flowers,Uncle Giuseppe's,1.3210023866348448
1-800-Flowers,Valero Energy,0.36515513126491644
1-800-Flowers,Walgreens,11.616945107398568
1-800-Flowers,Walmart,7.0178997613365155
1-800-Flowers,Wendy's,13.556085918854416
1-800-Flowers,Western Beef,0.5918854415274463
1-800-Flowers,XSport Fitness,1.1742243436754176
10 Spot/MadRag,BJ's Wholesale Club,0.30618401206636503
10 Spot/MadRag,BP,19.190045248868778
10 Spot/MadRag,Baskin Robbins,9.343891402714933
10 Spot/MadRag,Blink Fitness,4.464555052790347
10 Spot/MadRag,Boston Market,3.0648567119155357
10 Spot/MadRag,Burger King,12.446455505279035
10 Spot/MadRag,Burlington,4.788838612368024
10 Spot/MadRag,C Town Supermarkets,6.8476621417797885
10 Spot/MadRag,CVS,0.30618401206636503
10 Spot/MadRag,Chili's Grill & Bar,0.15082956259426847
10 Spot/MadRag,CrossFit,0.15082956259426847
10 Spot/MadRag,Dollar General,4.464555052790347
10 Spot/MadRag,Dollar Tree,15.48265460030166
10 Spot/MadRag,Domino's Pizza,3.0950226244343892
10 Spot/MadRag,Donut Connection,3.0693815987933637
10 Spot/MadRag,Duane Reade by Walgreens,0.15082956259426847
10 Spot/MadRag,Dunkin',28.815987933634993
10 Spot/MadRag,Family Dollar Stores,13.597285067873303
10 Spot/MadRag,Fine Fare Supermarkets,3.0950226244343892
10 Spot/MadRag,Food Bazaar Supermarket,0.7496229260935143
10 Spot/MadRag,GameStop,4.093514328808446
10 Spot/MadRag,Golden Krust Caribbean Bakery and Grill,7.812971342383107
10 Spot/MadRag,Haagen Dazs,0.30618401206636503
10 Spot/MadRag,KFC,3.549019607843137
10 Spot/MadRag,Key Food,0.15082956259426847
10 Spot/MadRag,Kmart,0.15082956259426847
10 Spot/MadRag,McDonald's,26.530920060331827
10 Spot/MadRag,Mobil,4.432880844645551
10 Spot/MadRag,Modell's Sporting Goods,8.60180995475113
10 Spot/MadRag,New York Sports Club,3.0950226244343892
10 Spot/MadRag,Old Navy,3.2564102564102564
10 Spot/MadRag,Papa John's,4.639517345399699
10 Spot/MadRag,Party City,3.0648567119155357
10 Spot/MadRag,Popeyes Louisiana Kitchen,12.681749622926093
10 Spot/MadRag,Rite Aid,10.075414781297134
10 Spot/MadRag,Sears Home Services,3.215686274509804
10 Spot/MadRag,Shell Oil,3.654600301659125
10 Spot/MadRag,ShopRite,5.171945701357466
10 Spot/MadRag,Speedway,0.30618401206636503
10 Spot/MadRag,Staples,0.30618401206636503
10 Spot/MadRag,Starbucks,12.313725490196079
10 Spot/MadRag,Subway,15.565610859728505
10 Spot/MadRag,Sunoco,3.0648567119155357
10 Spot/MadRag,Taco Bell,3.5520361990950224
10 Spot/MadRag,Target,6.351432880844645
10 Spot/MadRag,VIM,0.15082956259426847
10 Spot/MadRag,Walgreens,12.630467571644042
10 Spot/MadRag,Walmart,2.579185520361991
10 Spot/MadRag,Wendy's,6.502262443438914
10 Spot/MadRag,Western Beef,0.15082956259426847
110 Grill,BJ's Wholesale Club,11.317002881844381
110 Grill,BJ's Wholesale Club Gas,10.508645533141213
110 Grill,Burger King,12.93371757925072
110 Grill,CVS,4.79106628242075
110 Grill,Christmas Tree Shops,12.93371757925072
110 Grill,Cumberland Farms,2.68299711815562
110 Grill,Dollar Tree,17.57492795389049
110 Grill,Dunkin',21.958213256484147
110 Grill,Hannaford Supermarkets,3.8328530259365996
110 Grill,Hobby Lobby Stores,3.2579250720461097
110 Grill,Kohl's,12.93371757925072
110 Grill,McDonald's,35.57492795389049
110 Grill,Mobil,20.23342939481268
110 Grill,Petco,4.4077809798270895
110 Grill,Speedway,16.97550432276657
110 Grill,Starbucks,17.958213256484154
110 Grill,Stewart's Shops,6.899135446685879
110 Grill,Subway,4.024495677233429
110 Grill,Sunoco,18.87463976945245
110 Grill,T.J. Maxx,3.6412103746397695
110 Grill,Target,28.76657060518732
110 Grill,Tim Hortons,11.317002881844381
110 Grill,Walgreens,16.49135446685879
110 Grill,Walmart,38.19164265129683
110 Grill,Wegmans Food Markets,37.99279538904899
110 Grill,Wendy's,14.55043227665706
16 Handles,5 Napkin Burger,0.05945945945945946
