brands,naics3,naics3_category
& Other Stories,448,Clothing and Clothing Accessories Stores
&pizza,722,Food Services and Drinking Places
1-800-Flowers,453,Miscellaneous Store Retailers
10 Spot/MadRag,448,Clothing and Clothing Accessories Stores
110 Grill,722,Food Services and Drinking Places
16 Handles,722,Food Services and Drinking Places
24 Hour Fitness,713,"Amusement, Gambling, and Recreation Industries"
2nd Wind Exercise Equipment,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
5 Napkin Burger,722,Food Services and Drinking Places
5.11 Tactical,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
7 For All Mankind,448,Clothing and Clothing Accessories Stores
7-Eleven,445,Food and Beverage Stores
76,447,Gasoline Stations
800 Degrees Woodfired Kitchen,722,Food Services and Drinking Places
99 Restaurants,722,Food Services and Drinking Places
9Round,713,"Amusement, Gambling, and Recreation Industries"
A&W Restaurants,722,Food Services and Drinking Places
A.C. Moore,453,Miscellaneous Store Retailers
A.P.C. Store,446,Health and Personal Care Stores
ACME Sav-on Pharmacy,446,Health and Personal Care Stores
ALDI,445,Food and Beverage Stores
ALDO,448,Clothing and Clothing Accessories Stores
AMC Entertainment,512,Motion Picture and Video Industries
AMF,713,"Amusement, Gambling, and Recreation Industries"
Aaron's,532,Rental and Leasing Services
Abbott's Frozen Custard,722,Food Services and Drinking Places
Abercrombie,448,Clothing and Clothing Accessories Stores
Acme Markets,445,Food and Beverage Stores
Acorn Markets,445,Food and Beverage Stores
Adidas,448,Clothing and Clothing Accessories Stores
Adult Mart,453,Miscellaneous Store Retailers
Adventure Landing,713,"Amusement, Gambling, and Recreation Industries"
Against All Odds,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Alamo Drafthouse Cinema,512,Motion Picture and Video Industries
Alexander McQueen,448,Clothing and Clothing Accessories Stores
Allen Edmonds,448,Clothing and Clothing Accessories Stores
Altitude Trampoline Parks,713,"Amusement, Gambling, and Recreation Industries"
Amazon Books,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Amazon Go,722,Food Services and Drinking Places
America's Food Basket,445,Food and Beverage Stores
American Eagle Outfitters,448,Clothing and Clothing Accessories Stores
American Girl,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Amorino Gelato,722,Food Services and Drinking Places
Anderson's Frozen Custard,722,Food Services and Drinking Places
Angelika Film Center,512,Motion Picture and Video Industries
Ann Taylor,448,Clothing and Clothing Accessories Stores
Annie Sez,448,Clothing and Clothing Accessories Stores
Anthony's Coal Fired Pizza,722,Food Services and Drinking Places
Anthropologie,448,Clothing and Clothing Accessories Stores
Anytime Fitness,713,"Amusement, Gambling, and Recreation Industries"
Applebee's,722,Food Services and Drinking Places
Arby's,722,Food Services and Drinking Places
Aritzia,448,Clothing and Clothing Accessories Stores
Armani Exchange (A/X),448,Clothing and Clothing Accessories Stores
Artichoke Pizza,722,Food Services and Drinking Places
Artist & Craftsman Supply,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Ashley Stewart,448,Clothing and Clothing Accessories Stores
Aspen Athletic Clubs,713,"Amusement, Gambling, and Recreation Industries"
Associated Supermarkets,445,Food and Beverage Stores
Athleta,448,Clothing and Clothing Accessories Stores
Atlantis Fresh Market,447,Gasoline Stations
Atomic Wings,722,Food Services and Drinking Places
Au Bon Pain,722,Food Services and Drinking Places
Audibel,453,Miscellaneous Store Retailers
Auntie Anne's,722,Food Services and Drinking Places
Aéropostale,448,Clothing and Clothing Accessories Stores
B.GOOD,722,Food Services and Drinking Places
BCBG,448,Clothing and Clothing Accessories Stores
BCBGeneration,448,Clothing and Clothing Accessories Stores
BHLDN,448,Clothing and Clothing Accessories Stores
BJ's Restaurants,722,Food Services and Drinking Places
BJ's Wholesale Club,452,General Merchandise Stores
BJ's Wholesale Club Gas,447,Gasoline Stations
BK Pilates,713,"Amusement, Gambling, and Recreation Industries"
BP,447,Gasoline Stations
Babeland,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Bad Axe Throwing,713,"Amusement, Gambling, and Recreation Industries"
Bahama Breeze,722,Food Services and Drinking Places
Balduccis,445,Food and Beverage Stores
Balenciaga,448,Clothing and Clothing Accessories Stores
Bambu,722,Food Services and Drinking Places
Banana Republic,448,Clothing and Clothing Accessories Stores
Bandier,448,Clothing and Clothing Accessories Stores
BareBurger,722,Food Services and Drinking Places
Barnes and Noble,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Barnes and Noble College,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Barneys New York,452,General Merchandise Stores
Barry's Bootcamp,713,"Amusement, Gambling, and Recreation Industries"
Baskin Robbins,722,Food Services and Drinking Places
Bass Pro Shops,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Bath & Body Works,446,Health and Personal Care Stores
Beatnic,722,Food Services and Drinking Places
Beef Jerky Outlet,445,Food and Beverage Stores
Beltone,446,Health and Personal Care Stores
Ben & Jerry's,722,Food Services and Drinking Places
Benefit Cosmetics,446,Health and Personal Care Stores
Benihana,722,Food Services and Drinking Places
Best Fitness,713,"Amusement, Gambling, and Recreation Industries"
Best Market,445,Food and Beverage Stores
Big Lots Stores,452,General Merchandise Stores
Big M Supermarkets,445,Food and Beverage Stores
Bill Gray's,722,Food Services and Drinking Places
Bimbo Bakeries,722,Food Services and Drinking Places
Blackstone Steakhouse,722,Food Services and Drinking Places
Blaze Pizza,722,Food Services and Drinking Places
Blick Art Materials,453,Miscellaneous Store Retailers
Blimpie,722,Food Services and Drinking Places
Blink Fitness,713,"Amusement, Gambling, and Recreation Industries"
Bloomingdale's,452,General Merchandise Stores
Blue Bottle Coffee,722,Food Services and Drinking Places
Bluestone Lane,722,Food Services and Drinking Places
Bob Evans,722,Food Services and Drinking Places
Bob's Stores,448,Clothing and Clothing Accessories Stores
Boba Guys,722,Food Services and Drinking Places
Body & Brain Yoga Tai Chi,713,"Amusement, Gambling, and Recreation Industries"
Bolla Market,447,Gasoline Stations
Bonanza & Ponderosa Steakhouse,722,Food Services and Drinking Places
Bonchon,722,Food Services and Drinking Places
Bonefish Grill,722,Food Services and Drinking Places
Book Warehouse,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Boqueria,722,Food Services and Drinking Places
Boscov's,452,General Merchandise Stores
Boston Market,722,Food Services and Drinking Places
Bottega Veneta,452,General Merchandise Stores
Bounce Trampoline Sports,713,"Amusement, Gambling, and Recreation Industries"
BounceU,713,"Amusement, Gambling, and Recreation Industries"
Bow Tie Cinemas,512,Motion Picture and Video Industries
Bowlero,713,"Amusement, Gambling, and Recreation Industries"
Bowlmor Lanes,713,"Amusement, Gambling, and Recreation Industries"
BoxLunch,453,Miscellaneous Store Retailers
Bravo Supermarkets,445,Food and Beverage Stores
Brooklyn Boulders,713,"Amusement, Gambling, and Recreation Industries"
Brooklyn Fare,445,Food and Beverage Stores
Brooklyn Harvest Markets,445,Food and Beverage Stores
Brooks Brothers,448,Clothing and Clothing Accessories Stores
Bruegger's,722,Food Services and Drinking Places
Bubba Gump Shrimp,722,Food Services and Drinking Places
Bubbakoo's Burritos,722,Food Services and Drinking Places
Buca di Beppo,722,Food Services and Drinking Places
Buffalo Exchange,453,Miscellaneous Store Retailers
Buffalo Wild Wings,722,Food Services and Drinking Places
Build A Bear Workshop,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Burberry,448,Clothing and Clothing Accessories Stores
Burger King,722,Food Services and Drinking Places
Burger Village,722,Food Services and Drinking Places
BurgerFi,722,Food Services and Drinking Places
Burgerim,722,Food Services and Drinking Places
Burlington,448,Clothing and Clothing Accessories Stores
Burn Boot Camp,713,"Amusement, Gambling, and Recreation Industries"
Buy Buy Baby,448,Clothing and Clothing Accessories Stores
Byrne Dairy,445,Food and Beverage Stores
C Town Supermarkets,445,Food and Beverage Stores
C.H. MARTIN,452,General Merchandise Stores
CAVA,722,Food Services and Drinking Places
CITGO,447,Gasoline Stations
CKO Kickboxing,713,"Amusement, Gambling, and Recreation Industries"
CVS,446,Health and Personal Care Stores
CVS Pharmacy,446,Health and Personal Care Stores
Cabela's,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Cafe Metro,722,Food Services and Drinking Places
Calexico,722,Food Services and Drinking Places
California Pizza Kitchen,722,Food Services and Drinking Places
Calvin Klein,448,Clothing and Clothing Accessories Stores
Calzedonia,448,Clothing and Clothing Accessories Stores
Camper,448,Clothing and Clothing Accessories Stores
Camping World,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Canada Goose,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Cardsmart,453,Miscellaneous Store Retailers
Carhartt,448,Clothing and Clothing Accessories Stores
Carrabba's Italian Grill,722,Food Services and Drinking Places
Carter's,448,Clothing and Clothing Accessories Stores
Cartier,448,Clothing and Clothing Accessories Stores
Cartridge World,453,Miscellaneous Store Retailers
Carvel,722,Food Services and Drinking Places
Catherines,448,Clothing and Clothing Accessories Stores
Central Rock Gym,713,"Amusement, Gambling, and Recreation Industries"
Century 21 Department Stores,448,Clothing and Clothing Accessories Stores
Cha Cha Matcha,722,Food Services and Drinking Places
Champion,448,Clothing and Clothing Accessories Stores
Champs Sports,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Chanel,448,Clothing and Clothing Accessories Stores
Charles Tyrwhitt,448,Clothing and Clothing Accessories Stores
Charley's,722,Food Services and Drinking Places
Charlotte Russe,448,Clothing and Clothing Accessories Stores
Charlotte Tilbury,446,Health and Personal Care Stores
Checkers Drive-In Restaurants,722,Food Services and Drinking Places
Cheeburger Cheeburger,722,Food Services and Drinking Places
Chick-fil-A,722,Food Services and Drinking Places
Chico's,448,Clothing and Clothing Accessories Stores
Chico's Off The Rack,448,Clothing and Clothing Accessories Stores
Chili's Grill & Bar,722,Food Services and Drinking Places
China House,722,Food Services and Drinking Places
China King,722,Food Services and Drinking Places
China Kitchen,722,Food Services and Drinking Places
Chipotle Mexican Grill,722,Food Services and Drinking Places
Choice Pet,453,Miscellaneous Store Retailers
Chopt Creative Salad,722,Food Services and Drinking Places
Christian Louboutin,448,Clothing and Clothing Accessories Stores
Christmas Tree Shops,452,General Merchandise Stores
Chrome Hearts,448,Clothing and Clothing Accessories Stores
Chuck E. Cheese's,722,Food Services and Drinking Places
Cinnabon,722,Food Services and Drinking Places
Circle K,445,Food and Beverage Stores
Circle K Gas,447,Gasoline Stations
Citi Trends,452,General Merchandise Stores
Claire's,448,Clothing and Clothing Accessories Stores
Clarks,448,Clothing and Clothing Accessories Stores
Cliff's Local Market,445,Food and Beverage Stores
Clothes Mentor,453,Miscellaneous Store Retailers
Club Champion,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Club Monaco,448,Clothing and Clothing Accessories Stores
Club Pilates,713,"Amusement, Gambling, and Recreation Industries"
CoCo Fresh Tea & Juice,722,Food Services and Drinking Places
Coach,448,Clothing and Clothing Accessories Stores
Cold Stone Creamery,722,Food Services and Drinking Places
Cole Haan,448,Clothing and Clothing Accessories Stores
Columbia Sportswear,448,Clothing and Clothing Accessories Stores
Compare Foods Supermarkets,445,Food and Beverage Stores
ConocoPhillips,447,Gasoline Stations
CoreLife Eatery,722,Food Services and Drinking Places
CorePower Yoga,713,"Amusement, Gambling, and Recreation Industries"
Cosi,722,Food Services and Drinking Places
Costco,452,General Merchandise Stores
Costco Gasoline,447,Gasoline Stations
Country Fair,447,Gasoline Stations
Country Kitchen,722,Food Services and Drinking Places
CountryMax Stores,453,Miscellaneous Store Retailers
Cracker Barrel,722,Food Services and Drinking Places
Crocs,448,Clothing and Clothing Accessories Stores
Crosby's,445,Food and Beverage Stores
CrossFit,713,"Amusement, Gambling, and Recreation Industries"
Crossroads Trading,453,Miscellaneous Store Retailers
Crown Trophy,453,Miscellaneous Store Retailers
Crunch,713,"Amusement, Gambling, and Recreation Industries"
Cumberland Farms,447,Gasoline Stations
Cups Frozen Yogurt,722,Food Services and Drinking Places
Curves,713,"Amusement, Gambling, and Recreation Industries"
Cycle Gear,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
CycleBar,713,"Amusement, Gambling, and Recreation Industries"
D'Agostino,445,Food and Beverage Stores
DAISO,452,General Merchandise Stores
DSW (Designer Shoe Warehouse),448,Clothing and Clothing Accessories Stores
DTR/VILLA,448,Clothing and Clothing Accessories Stores
Dairy Queen,722,Food Services and Drinking Places
Dallas BBQ,722,Food Services and Drinking Places
Dandy Mini Marts,445,Food and Beverage Stores
Dash's Market,445,Food and Beverage Stores
Dave & Buster's,722,Food Services and Drinking Places
David's Bridal,448,Clothing and Clothing Accessories Stores
DeCicco and Sons,722,Food Services and Drinking Places
Del Frisco's Grille,722,Food Services and Drinking Places
DelFrisco's Double Eagle Steakhouse,722,Food Services and Drinking Places
Denny's,722,Food Services and Drinking Places
Destination Maternity,448,Clothing and Clothing Accessories Stores
Destination XL,448,Clothing and Clothing Accessories Stores
DiBella's Subs,722,Food Services and Drinking Places
Dick's Sporting Goods,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Dickey's Barbecue Pit,722,Food Services and Drinking Places
Dig Inn,722,Food Services and Drinking Places
Dior,448,Clothing and Clothing Accessories Stores
Disney Store,453,Miscellaneous Store Retailers
Doc Popcorn,722,Food Services and Drinking Places
Dog Haus,722,Food Services and Drinking Places
Dolce & Gabbana,448,Clothing and Clothing Accessories Stores
Dollar General,452,General Merchandise Stores
Dollar Tree,452,General Merchandise Stores
Domino's Pizza,722,Food Services and Drinking Places
Donut Connection,722,Food Services and Drinking Places
Dooney and Bourke,448,Clothing and Clothing Accessories Stores
Dos Toros Taqueria,722,Food Services and Drinking Places
Dover Saddlery,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Dressbarn,448,Clothing and Clothing Accessories Stores
Duane Reade by Walgreens,446,Health and Personal Care Stores
Dunkin',722,Food Services and Drinking Places
Duty Free Americas,445,Food and Beverage Stores
Dylan's Candy Bar,445,Food and Beverage Stores
ESCADA,448,Clothing and Clothing Accessories Stores
EagleRider,713,"Amusement, Gambling, and Recreation Industries"
Earl of Sandwich,722,Food Services and Drinking Places
Eastern Mountain Sports,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Eataly,722,Food Services and Drinking Places
Eblens,448,Clothing and Clothing Accessories Stores
Eddie Bauer,448,Clothing and Clothing Accessories Stores
Edible Arrangements,453,Miscellaneous Store Retailers
Eileen Fisher,448,Clothing and Clothing Accessories Stores
Einstein Brothers,722,Food Services and Drinking Places
Elevation Burger,722,Food Services and Drinking Places
Elixir Juice Bar,722,Food Services and Drinking Places
Emack & Bolio's Ice Cream,722,Food Services and Drinking Places
Empire Eatery,447,Gasoline Stations
Epicierie Boulud,722,Food Services and Drinking Places
Equinox Fitness Clubs,713,"Amusement, Gambling, and Recreation Industries"
Ermenegildo Zenga,448,Clothing and Clothing Accessories Stores
Everlane,452,General Merchandise Stores
Everything but Water,448,Clothing and Clothing Accessories Stores
Exhale,812,Personal and Laundry Services
Express,448,Clothing and Clothing Accessories Stores
Express Factory Outlet,448,Clothing and Clothing Accessories Stores
Exxon Mobil,447,Gasoline Stations
F45 Training,713,"Amusement, Gambling, and Recreation Industries"
Fairway Market,445,Food and Beverage Stores
Family Dollar Stores,452,General Merchandise Stores
Family Video,532,Rental and Leasing Services
Famous Dave's,722,Food Services and Drinking Places
Famous Footwear,448,Clothing and Clothing Accessories Stores
Fastrac,447,Gasoline Stations
Feel Rite Fresh Market,446,Health and Personal Care Stores
Fendi,448,Clothing and Clothing Accessories Stores
Ferragamo,448,Clothing and Clothing Accessories Stores
Field & Stream,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Fig and Olive,722,Food Services and Drinking Places
Fine Fare Supermarkets,445,Food and Beverage Stores
Firehouse Subs,722,Food Services and Drinking Places
Fitness 19,713,"Amusement, Gambling, and Recreation Industries"
Fitness Factory Health Club,713,"Amusement, Gambling, and Recreation Industries"
Five Below,452,General Merchandise Stores
Five Guys,722,Food Services and Drinking Places
Fjall Raven,713,"Amusement, Gambling, and Recreation Industries"
Fleet Feet Sports,448,Clothing and Clothing Accessories Stores
Flight Trampoline Park,713,"Amusement, Gambling, and Recreation Industries"
Flywheel,713,"Amusement, Gambling, and Recreation Industries"
Fogo de Chão,722,Food Services and Drinking Places
Food Bazaar Supermarket,445,Food and Beverage Stores
Food Dynasty,445,Food and Beverage Stores
Food Fair,445,Food and Beverage Stores
Food Universe Marketplace,445,Food and Beverage Stores
Foodtown,445,Food and Beverage Stores
Foot Locker,448,Clothing and Clothing Accessories Stores
Footaction,448,Clothing and Clothing Accessories Stores
Forever 21,448,Clothing and Clothing Accessories Stores
Forman Mills,448,Clothing and Clothing Accessories Stores
Fossil,448,Clothing and Clothing Accessories Stores
Four Brothers Pizza Inn,722,Food Services and Drinking Places
Fox's Pizza Den,722,Food Services and Drinking Places
Francos Pizza,722,Food Services and Drinking Places
Frank Pepe Pizzeria,722,Food Services and Drinking Places
Fred Astaire Dance Studios,713,"Amusement, Gambling, and Recreation Industries"
Free People,448,Clothing and Clothing Accessories Stores
Fresh&co.,445,Food and Beverage Stores
Friendly's,722,Food Services and Drinking Places
Fuku,722,Food Services and Drinking Places
G-Star RAW,448,Clothing and Clothing Accessories Stores
GALLS,448,Clothing and Clothing Accessories Stores
GNC (General Nutrition Centers),446,Health and Personal Care Stores
GRK Fresh,722,Food Services and Drinking Places
GUESS Factory,448,Clothing and Clothing Accessories Stores
Gabe's,452,General Merchandise Stores
GameStop,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Gander Outdoors,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
Gap,448,Clothing and Clothing Accessories Stores
Gertrude Hawk Chocolates,445,Food and Beverage Stores
Get Air,713,"Amusement, Gambling, and Recreation Industries"
Giunta's Meat Farms,445,Food and Beverage Stores
Go! Go! Curry! America,722,Food Services and Drinking Places
Gold's Gym,713,"Amusement, Gambling, and Recreation Industries"
Golden China,722,Food Services and Drinking Places
Golden Corral,722,Food Services and Drinking Places
Golden Krust Caribbean Bakery and Grill,722,Food Services and Drinking Places
Golf Galaxy,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
GolfTec,713,"Amusement, Gambling, and Recreation Industries"
Gong Cha,722,Food Services and Drinking Places
Goodwill Industries,453,Miscellaneous Store Retailers
Gordmans,452,General Merchandise Stores
